class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Candidatus Magasanikbacteria;c__,1.0,3.0,1.0,1.0,8.0,5.0,6.0,2.0,0.0,2.0
sk__Bacteria;p__Candidatus Nomurabacteria;c__,6.0,7.0,0.0,6.0,4.0,2.0,15.0,10.0,0.0,5.0
sk__Bacteria;p__Candidatus Omnitrophica;c__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Omnitrophica;c__,4.0,13.0,0.0,20.0,35.0,14.0,1.0,10.0,0.0,13.0
sk__Bacteria;p__Candidatus Parcubacteria;c__,4.0,5.0,1.0,3.0,21.0,15.0,15.0,8.0,4.0,2.0
sk__Bacteria;p__Candidatus Peregrinibacteria;c__,1.0,3.0,1.0,1.0,1.0,6.0,5.0,4.0,0.0,0.0
sk__Bacteria;p__Candidatus Peregrinibacteria;c__Candidatus Peribacteria,1.0,6.0,2.0,7.0,3.0,4.0,14.0,1.0,1.0,4.0
sk__Bacteria;p__Candidatus Uhrbacteria;c__,3.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0
sk__Bacteria;p__Candidatus Woesebacteria;c__,1.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,2.0
sk__Bacteria;p__Candidatus Zambryskibacteria;c__,2.0,3.0,1.0,0.0,8.0,7.0,4.0,7.0,2.0,1.0
sk__Bacteria;p__Chlamydiae;c__,4.0,3.0,5.0,6.0,3.0,1.0,11.0,6.0,2.0,10.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
