#SampleID	SRR1141250	SRR1143350	SRR1145430	SRR1145431	SRR1143324	SRR1145435	SRR1145427	SRR1145428	SRR1141249	SRR1143339	SRR1145429
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineosporia	2	0	0	0	0	0	0	2	8	2	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Quadrisphaera	1	4	0	0	0	0	3	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	644	8016	329	0	334	0	4332	324	821	2463	744
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae;g__Beutenbergia	0	3	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae	0	18	0	0	0	0	10	0	0	8	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Bogoriella	0	1	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia	0	13	0	0	0	0	4	0	0	2	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae	14	43	8	0	9	0	29	6	17	16	9
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas	16	0	3	0	9	0	2	2	39	1	2
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Demequinaceae	0	1	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Demequinaceae;g__Demequina	0	0	1	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae	0	28	0	0	0	0	56	0	0	8	1
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium	0	32	0	0	0	0	59	0	0	9	2
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae	2	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae	193	131	179	0	169	0	45	238	185	7	157
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	278	266	69	0	106	0	157	90	306	49	81
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinicoccus	0	1	0	0	0	0	0	0	0	0	0
